District,year,month,mean
Purba Singhbhum,2015,1,-999.0
Bokaro,2015,1,-999.0
Chatra,2015,1,-999.0
Garhwa,2015,1,-999.0
Giridih,2015,1,-999.0
Hazaribag,2015,1,-999.0
Koderma,2015,1,-999.0
Pakur,2015,1,-999.0
Sahibganj,2015,1,-999.0
Dumka,2015,1,-999.0
Gumla,2015,1,-999.0
Jamtara,2015,1,-999.0
Latehar,2015,1,-999.0
Palamu,2015,1,-999.0
Pashchim Singhbhum,2015,1,-999.0
Seraikela_Kharsawan,2015,1,-999.0
Simdega,2015,1,-999.0
Deoghar,2015,1,-999.0
Godda,2015,1,-999.0
Lohardaga,2015,1,-999.0
Ranchi,2015,1,-999.0
Dhanbad,2015,1,-999.0
Purba Singhbhum,2015,2,-999.0
Bokaro,2015,2,-999.0
Chatra,2015,2,-999.0
Garhwa,2015,2,-999.0
Giridih,2015,2,-999.0
Hazaribag,2015,2,-999.0
Koderma,2015,2,-999.0
Pakur,2015,2,-999.0
Sahibganj,2015,2,-999.0
Dumka,2015,2,-999.0
Gumla,2015,2,-999.0
Jamtara,2015,2,-999.0
Latehar,2015,2,-999.0
Palamu,2015,2,-999.0
Pashchim Singhbhum,2015,2,-999.0
Seraikela_Kharsawan,2015,2,-999.0
Simdega,2015,2,-999.0
Deoghar,2015,2,-999.0
Godda,2015,2,-999.0
Lohardaga,2015,2,-999.0
Ranchi,2015,2,-999.0
Dhanbad,2015,2,-999.0
Purba Singhbhum,2015,3,-999.0
Bokaro,2015,3,-999.0
Chatra,2015,3,-999.0
Garhwa,2015,3,-999.0
Giridih,2015,3,-999.0
Hazaribag,2015,3,-999.0
Koderma,2015,3,-999.0
Pakur,2015,3,-999.0
Sahibganj,2015,3,-999.0
Dumka,2015,3,-999.0
Gumla,2015,3,-999.0
Jamtara,2015,3,-999.0
Latehar,2015,3,-999.0
Palamu,2015,3,-999.0
Pashchim Singhbhum,2015,3,-999.0
Seraikela_Kharsawan,2015,3,-999.0
Simdega,2015,3,-999.0
Deoghar,2015,3,-999.0
Godda,2015,3,-999.0
Lohardaga,2015,3,-999.0
Ranchi,2015,3,-999.0
Dhanbad,2015,3,-999.0
Purba Singhbhum,2015,4,2.9000400789748144
Bokaro,2015,4,3.402557335284373
Chatra,2015,4,2.738547369304267
Garhwa,2015,4,2.572602623594052
Giridih,2015,4,2.658962336883401
Hazaribag,2015,4,3.4819343472822357
Koderma,2015,4,2.8356728786532295
Pakur,2015,4,4.50487167365305
Sahibganj,2015,4,4.544406695017077
Dumka,2015,4,4.73488028097004
Gumla,2015,4,3.2047848832762
Jamtara,2015,4,4.3819864175557806
Latehar,2015,4,3.0170866266195566
Palamu,2015,4,2.3466151845334027
Pashchim Singhbhum,2015,4,2.8972710427030592
Seraikela_Kharsawan,2015,4,2.7253879663106555
Simdega,2015,4,2.973225180682974
Deoghar,2015,4,3.5182567183482867
Godda,2015,4,6.006953480307327
Lohardaga,2015,4,2.8078973251096375
Ranchi,2015,4,3.4134771422123062
Dhanbad,2015,4,2.739049480800805
Purba Singhbhum,2015,5,2.5014302645298985
Bokaro,2015,5,2.7807653813557334
Chatra,2015,5,2.362370257294975
Garhwa,2015,5,2.2823158775773225
Giridih,2015,5,2.354022926303536
Hazaribag,2015,5,2.2764349712415775
Koderma,2015,5,2.2831059407519163
Pakur,2015,5,4.977865244736057
Sahibganj,2015,5,4.192866973173146
Dumka,2015,5,4.281141423372559
Gumla,2015,5,2.2539059085235302
Jamtara,2015,5,3.679614554692105
Latehar,2015,5,2.241956856081122
Palamu,2015,5,2.2339699470186996
Pashchim Singhbhum,2015,5,2.250922605680734
Seraikela_Kharsawan,2015,5,2.420307107485297
Simdega,2015,5,2.4843408543002434
Deoghar,2015,5,2.7297153021081173
Godda,2015,5,4.939030274341615
Lohardaga,2015,5,2.0461968239699835
Ranchi,2015,5,2.2631016832054236
Dhanbad,2015,5,3.595360192118093
Purba Singhbhum,2015,6,9.912886666196657
Bokaro,2015,6,11.629769419766758
Chatra,2015,6,7.952355239445068
Garhwa,2015,6,7.2482040881484
Giridih,2015,6,8.891636835749443
Hazaribag,2015,6,9.568730507082963
Koderma,2015,6,8.36709342612418
Pakur,2015,6,14.031125715834026
Sahibganj,2015,6,12.898317287247142
Dumka,2015,6,12.028250461420852
Gumla,2015,6,9.28539856070737
Jamtara,2015,6,11.419869586501816
Latehar,2015,6,9.61131677441118
Palamu,2015,6,6.541588670589108
Pashchim Singhbhum,2015,6,7.622034386240378
Seraikela_Kharsawan,2015,6,9.85601028249135
Simdega,2015,6,10.295350757843075
Deoghar,2015,6,9.195469461611955
Godda,2015,6,11.67353540528086
Lohardaga,2015,6,9.144253977634124
Ranchi,2015,6,10.274256279913995
Dhanbad,2015,6,11.526241099462549
Purba Singhbhum,2015,7,23.40117801508647
Bokaro,2015,7,24.896226314443744
Chatra,2015,7,24.59057126620611
Garhwa,2015,7,23.24363180453768
Giridih,2015,7,24.808425042419035
Hazaribag,2015,7,24.882199690438675
Koderma,2015,7,24.333617630642724
Pakur,2015,7,25.068532253809693
Sahibganj,2015,7,25.02857262005623
Dumka,2015,7,24.796759123749467
Gumla,2015,7,24.76657725726842
Jamtara,2015,7,24.84406940258401
Latehar,2015,7,24.836634210380737
Palamu,2015,7,22.79733356647686
Pashchim Singhbhum,2015,7,23.268228165073953
Seraikela_Kharsawan,2015,7,24.194973627121797
Simdega,2015,7,24.357516670027476
Deoghar,2015,7,24.513515148675033
Godda,2015,7,24.863952743670065
Lohardaga,2015,7,25.1559181993658
Ranchi,2015,7,24.909793229629237
Dhanbad,2015,7,24.915133701516705
Purba Singhbhum,2015,8,21.356419947017542
Bokaro,2015,8,23.171023562379442
Chatra,2015,8,21.509832824805308
Garhwa,2015,8,22.017732109273677
Giridih,2015,8,23.80052619692845
Hazaribag,2015,8,23.025528350760112
Koderma,2015,8,23.57661177656798
Pakur,2015,8,24.52791630589441
Sahibganj,2015,8,24.606672132395563
Dumka,2015,8,23.95878482322257
Gumla,2015,8,23.54467051730773
Jamtara,2015,8,23.058203329740664
Latehar,2015,8,23.088357407047685
Palamu,2015,8,21.380545606458245
Pashchim Singhbhum,2015,8,21.389393946977965
Seraikela_Kharsawan,2015,8,21.982158276724874
Simdega,2015,8,21.90953852322307
Deoghar,2015,8,23.414630937214415
Godda,2015,8,24.55179996186195
Lohardaga,2015,8,24.2573662415646
Ranchi,2015,8,22.43511489638575
Dhanbad,2015,8,22.99621619171258
Purba Singhbhum,2015,9,19.155727994961012
Bokaro,2015,9,19.692899248091752
Chatra,2015,9,15.98106779106459
Garhwa,2015,9,15.212822950800101
Giridih,2015,9,18.801863206891383
Hazaribag,2015,9,18.76089211889647
Koderma,2015,9,19.0755673519616
Pakur,2015,9,20.561754112071917
Sahibganj,2015,9,20.885237960249928
Dumka,2015,9,19.931192897662182
Gumla,2015,9,20.0044862669857
Jamtara,2015,9,19.807733880640537
Latehar,2015,9,17.47659617331349
Palamu,2015,9,15.847821904991573
Pashchim Singhbhum,2015,9,17.12866507961763
Seraikela_Kharsawan,2015,9,19.5532969607294
Simdega,2015,9,17.901260570829827
Deoghar,2015,9,19.013336203631358
Godda,2015,9,21.025986891827714
Lohardaga,2015,9,19.75859369980662
Ranchi,2015,9,19.327523358192064
Dhanbad,2015,9,19.370638599206128
Purba Singhbhum,2015,10,10.762113773867343
Bokaro,2015,10,12.188810264177462
Chatra,2015,10,7.028642568562964
Garhwa,2015,10,5.391022251678882
Giridih,2015,10,9.432618935755762
Hazaribag,2015,10,9.870196652305863
Koderma,2015,10,8.902461676921662
Pakur,2015,10,17.348769716004096
Sahibganj,2015,10,15.317476928752736
Dumka,2015,10,14.300113160454973
Gumla,2015,10,9.960055490486372
Jamtara,2015,10,11.158211797864078
Latehar,2015,10,6.894843991440126
Palamu,2015,10,6.804601100403622
Pashchim Singhbhum,2015,10,7.5874732344486375
Seraikela_Kharsawan,2015,10,10.992876706491844
Simdega,2015,10,8.512448876974275
Deoghar,2015,10,11.60513927737524
Godda,2015,10,15.216272415133412
Lohardaga,2015,10,8.778191314359605
Ranchi,2015,10,9.955263848524686
Dhanbad,2015,10,11.365137158414456
Purba Singhbhum,2015,11,4.178177997817629
Bokaro,2015,11,5.119844697917991
Chatra,2015,11,3.31759942101809
Garhwa,2015,11,2.994366811525911
Giridih,2015,11,3.9606324352441797
Hazaribag,2015,11,4.354518425070934
Koderma,2015,11,4.216901716548134
Pakur,2015,11,9.55689891636733
Sahibganj,2015,11,8.066786520910618
Dumka,2015,11,6.629089343934186
Gumla,2015,11,4.968013834557696
Jamtara,2015,11,4.466487636925719
Latehar,2015,11,3.2146853311967294
Palamu,2015,11,3.2402217807298164
Pashchim Singhbhum,2015,11,3.3416570331083704
Seraikela_Kharsawan,2015,11,4.969097402648532
Simdega,2015,11,4.456256898318302
Deoghar,2015,11,4.638854382612937
Godda,2015,11,7.393178987344885
Lohardaga,2015,11,3.7143368548183364
Ranchi,2015,11,4.677570336921333
Dhanbad,2015,11,4.685926110277775
Purba Singhbhum,2015,12,2.7921089726947197
Bokaro,2015,12,3.1739265885998247
Chatra,2015,12,3.0679170174859745
Garhwa,2015,12,2.9616410453017736
Giridih,2015,12,2.918014222087216
Hazaribag,2015,12,3.2567597758964406
Koderma,2015,12,3.1670442650490473
Pakur,2015,12,4.590612998095526
Sahibganj,2015,12,4.43636980542359
Dumka,2015,12,3.422877999950671
Gumla,2015,12,4.022087223890649
Jamtara,2015,12,2.8490696020197865
Latehar,2015,12,3.496759906173614
Palamu,2015,12,2.8585972403052944
Pashchim Singhbhum,2015,12,2.707539730838367
Seraikela_Kharsawan,2015,12,3.0075899659332563
Simdega,2015,12,3.2789119105918245
Deoghar,2015,12,2.724994281527597
Godda,2015,12,3.8036943376393815
Lohardaga,2015,12,2.8356952821809154
Ranchi,2015,12,3.537796124104898
Dhanbad,2015,12,2.801138436953663
Purba Singhbhum,2016,1,2.6725492537629782
Bokaro,2016,1,3.757725160924185
Chatra,2016,1,4.088592521009358
Garhwa,2016,1,4.129826431215932
Giridih,2016,1,3.727153192692512
Hazaribag,2016,1,3.8133661899337494
Koderma,2016,1,5.3127613533790585
Pakur,2016,1,3.4350653726962657
Sahibganj,2016,1,3.2330181136117457
Dumka,2016,1,3.1299878157098684
