District,year,month,mean
Purba Singhbhum,2010,1,0.5475883688364949
Bokaro,2010,1,1.9048003726581446
Chatra,2010,1,0.09662411849993527
Garhwa,2010,1,0.5802361590850627
Giridih,2010,1,0.25444819632450505
Hazaribag,2010,1,1.1258314682698862
Koderma,2010,1,0.12147140853959916
Pakur,2010,1,0.16543643875100011
Sahibganj,2010,1,2.980461976337413
Dumka,2010,1,0.8431673517952408
Gumla,2010,1,0.13507139610942165
Jamtara,2010,1,1.7498343906025904
Latehar,2010,1,0.09459904583013987
Palamu,2010,1,0.47685286078997935
Pashchim Singhbhum,2010,1,0.145369901852177
Seraikela_Kharsawan,2010,1,2.366808108979702
Simdega,2010,1,0.2673110533908231
Deoghar,2010,1,0.10446373578421393
Godda,2010,1,0.11561736736079062
Lohardaga,2010,1,0.16244624207328087
Ranchi,2010,1,0.43368268240101165
Dhanbad,2010,1,2.6836424087467026
Purba Singhbhum,2010,2,0.5379788944818767
Bokaro,2010,2,1.9436122218576017
Chatra,2010,2,0.08751731717282826
Garhwa,2010,2,0.5075532985454014
Giridih,2010,2,0.27696269846317306
Hazaribag,2010,2,1.2292633642194126
Koderma,2010,2,0.1572011802298296
Pakur,2010,2,0.12561115643437143
Sahibganj,2010,2,2.9677812530743326
Dumka,2010,2,0.8190399758035664
Gumla,2010,2,0.08441077679862401
Jamtara,2010,2,1.581315567400405
Latehar,2010,2,0.06683405065674348
Palamu,2010,2,0.4581792987878863
Pashchim Singhbhum,2010,2,0.13001746665020758
Seraikela_Kharsawan,2010,2,2.2147199628629126
Simdega,2010,2,0.1934445809560775
Deoghar,2010,2,0.09090591925990119
Godda,2010,2,0.14240592486059778
Lohardaga,2010,2,0.12021311967222736
Ranchi,2010,2,0.3942421894489095
Dhanbad,2010,2,2.454160104083702
Purba Singhbhum,2010,3,0.2133682616152749
Bokaro,2010,3,1.2789520595564707
Chatra,2010,3,0.04953364818560988
Garhwa,2010,3,0.3743212969052085
Giridih,2010,3,0.09929390566714008
Hazaribag,2010,3,0.6047560360349917
Koderma,2010,3,0.07229238546791268
Pakur,2010,3,0.07536468667104233
Sahibganj,2010,3,2.5806190103635163
Dumka,2010,3,0.7768581717572767
Gumla,2010,3,0.07313902268085963
Jamtara,2010,3,1.2920120359772485
Latehar,2010,3,0.051772404629167275
Palamu,2010,3,0.29787200785199136
Pashchim Singhbhum,2010,3,0.04950343614309044
Seraikela_Kharsawan,2010,3,1.4183840584604581
Simdega,2010,3,0.17310930627366455
Deoghar,2010,3,0.01961884074941912
Godda,2010,3,0.0964935326707572
Lohardaga,2010,3,0.09040010098513102
Ranchi,2010,3,0.2117213757496117
Dhanbad,2010,3,1.5932124855344316
Purba Singhbhum,2010,4,0.23033202358470956
Bokaro,2010,4,1.4697537697907725
Chatra,2010,4,0.026649801310965608
Garhwa,2010,4,0.36180781875421036
Giridih,2010,4,0.0406314738347025
Hazaribag,2010,4,0.7008037654135929
Koderma,2010,4,0.017261226427882432
Pakur,2010,4,0.03901483550617448
Sahibganj,2010,4,2.4481893705192888
Dumka,2010,4,0.6332933533543313
Gumla,2010,4,0.046365083399892766
Jamtara,2010,4,1.1348575041053706
Latehar,2010,4,0.021773420050782265
Palamu,2010,4,0.29810003422949277
