District,year,month,mean
Purba Singhbhum,2010,1,12.90225033443877
Bokaro,2010,1,11.009662659308123
Chatra,2010,1,8.477158709421747
Garhwa,2010,1,9.2756510067818
Giridih,2010,1,9.425994932787365
Hazaribag,2010,1,9.275217279907535
Koderma,2010,1,8.798973276545464
Pakur,2010,1,10.587473225694755
Sahibganj,2010,1,10.523639235922259
Dumka,2010,1,10.616969916930314
Gumla,2010,1,10.075318582376994
Jamtara,2010,1,10.876306193213734
Latehar,2010,1,9.302476614716193
Palamu,2010,1,9.290989468097376
Pashchim Singhbhum,2010,1,12.266989031189917
Seraikela_Kharsawan,2010,1,12.593931922400067
Simdega,2010,1,12.752506742657198
Deoghar,2010,1,9.80035403551072
Godda,2010,1,9.32445352725692
Lohardaga,2010,1,9.02853318242275
Ranchi,2010,1,10.360847283525777
Dhanbad,2010,1,11.325355840260526
Purba Singhbhum,2010,2,17.844461370648073
Bokaro,2010,2,15.869567286250007
Chatra,2010,2,13.764156812349064
Garhwa,2010,2,14.67745689184365
Giridih,2010,2,14.647225994836674
Hazaribag,2010,2,14.281812303534098
Koderma,2010,2,14.238372905722253
Pakur,2010,2,15.535173267375198
Sahibganj,2010,2,15.31288829193079
Dumka,2010,2,15.471556958171023
Gumla,2010,2,14.324738538931207
Jamtara,2010,2,15.576406164746462
Latehar,2010,2,14.1293222081408
Palamu,2010,2,14.470635019535553
Pashchim Singhbhum,2010,2,16.706082372859708
Seraikela_Kharsawan,2010,2,17.19890104439259
Simdega,2010,2,17.034030716285496
Deoghar,2010,2,14.72619880270597
Godda,2010,2,14.7257325312363
Lohardaga,2010,2,13.328288740684524
Ranchi,2010,2,14.732538881919611
Dhanbad,2010,2,16.12325446910621
Purba Singhbhum,2010,3,23.885963410186992
Bokaro,2010,3,21.618697996735964
Chatra,2010,3,19.83506681943116
Garhwa,2010,3,21.05367182837306
Giridih,2010,3,20.619438340603583
Hazaribag,2010,3,20.04841185503164
Koderma,2010,3,20.422863117870765
Pakur,2010,3,21.8957286348578
Sahibganj,2010,3,21.33628555862078
Dumka,2010,3,21.893443904388796
Gumla,2010,3,20.19148050627862
Jamtara,2010,3,21.575222963996797
Latehar,2010,3,20.040704823235767
Palamu,2010,3,20.842885590253413
Pashchim Singhbhum,2010,3,22.67690699464986
Seraikela_Kharsawan,2010,3,22.808196605950197
Simdega,2010,3,22.756689600098895
Deoghar,2010,3,21.032618457627514
Godda,2010,3,20.89770628739582
Lohardaga,2010,3,19.199208937154808
Ranchi,2010,3,20.450441078820106
Dhanbad,2010,3,22.04929519239013
Purba Singhbhum,2010,4,26.436536779529632
Bokaro,2010,4,25.420871004580444
Chatra,2010,4,24.0620252159291
Garhwa,2010,4,25.002521593036374
Giridih,2010,4,24.946865568711306
Hazaribag,2010,4,24.203217365022375
Koderma,2010,4,25.259026069587556
Pakur,2010,4,25.244463975766653
Sahibganj,2010,4,24.258435640653474
Dumka,2010,4,25.282324952205734
Gumla,2010,4,23.53496466070076
Jamtara,2010,4,25.305759035064863
Latehar,2010,4,23.86398144376332
Palamu,2010,4,24.884044082226094
Pashchim Singhbhum,2010,4,26.08371990795956
Seraikela_Kharsawan,2010,4,26.292157673085473
Simdega,2010,4,25.910888569884918
Deoghar,2010,4,24.880784042492788
Godda,2010,4,24.819914374847926
Lohardaga,2010,4,22.691899961237628
Ranchi,2010,4,23.84407265955961
Dhanbad,2010,4,25.53469478675696
Purba Singhbhum,2010,5,25.5212830526868
Bokaro,2010,5,24.001872545233354
Chatra,2010,5,24.500099537061207
Garhwa,2010,5,26.655204829826314
Giridih,2010,5,22.97283515000451
Hazaribag,2010,5,23.280999449359935
Koderma,2010,5,24.23611683617949
Pakur,2010,5,23.945318349897825
Sahibganj,2010,5,23.562409608593704
Dumka,2010,5,24.10686880418103
Gumla,2010,5,24.167495931139847
Jamtara,2010,5,24.399162030850157
Latehar,2010,5,25.281445688306775
Palamu,2010,5,26.273678956017996
Pashchim Singhbhum,2010,5,24.899310830855875
Seraikela_Kharsawan,2010,5,24.83865339210647
Simdega,2010,5,25.24414939370745
Deoghar,2010,5,24.076208415749996
Godda,2010,5,24.240897022769094
Lohardaga,2010,5,23.35961992975018
Ranchi,2010,5,23.75990378533953
Dhanbad,2010,5,24.20108110663585
Purba Singhbhum,2010,6,25.215897096667533
Bokaro,2010,6,25.43957757457218
Chatra,2010,6,26.005189519234474
Garhwa,2010,6,26.764511736539518
Giridih,2010,6,25.176466178818362
Hazaribag,2010,6,25.05267210107698
Koderma,2010,6,25.552193472974306
Pakur,2010,6,24.79496130371743
Sahibganj,2010,6,23.982609391950415
Dumka,2010,6,25.323942294277202
Gumla,2010,6,24.66723195714852
Jamtara,2010,6,25.986318206140005
Latehar,2010,6,24.95012499811406
Palamu,2010,6,26.602675470429237
Pashchim Singhbhum,2010,6,25.44763120948614
Seraikela_Kharsawan,2010,6,25.622705100114025
Simdega,2010,6,26.746448699239984
Deoghar,2010,6,26.067814629804317
Godda,2010,6,25.214548595197552
Lohardaga,2010,6,23.998472340618626
Ranchi,2010,6,24.676197460965895
Dhanbad,2010,6,25.59253099094468
Purba Singhbhum,2010,7,24.571644568862894
Bokaro,2010,7,24.52023755123401
Chatra,2010,7,24.4898475642225
Garhwa,2010,7,26.628034328070793
Giridih,2010,7,24.454914977892525
Hazaribag,2010,7,23.317795087009063
Koderma,2010,7,24.50174538598306
Pakur,2010,7,25.146013141214056
Sahibganj,2010,7,25.445603732479945
Dumka,2010,7,25.262450492801346
Gumla,2010,7,21.7580422905405
Jamtara,2010,7,25.18301212099645
Latehar,2010,7,24.11551203713488
Palamu,2010,7,26.39507383628975
Pashchim Singhbhum,2010,7,23.238380468638724
Seraikela_Kharsawan,2010,7,25.172280038849394
Simdega,2010,7,23.206589879541603
Deoghar,2010,7,25.402325093373108
Godda,2010,7,25.499113277904144
