District,year,month,mean
Purba Singhbhum,2015,1,
Bokaro,2015,1,
Chatra,2015,1,
Garhwa,2015,1,
Giridih,2015,1,
Hazaribag,2015,1,
Koderma,2015,1,
Pakur,2015,1,
Sahibganj,2015,1,
Dumka,2015,1,
Gumla,2015,1,
Jamtara,2015,1,
Latehar,2015,1,
Palamu,2015,1,
Pashchim Singhbhum,2015,1,
Seraikela_Kharsawan,2015,1,
Simdega,2015,1,
Deoghar,2015,1,
Godda,2015,1,
Lohardaga,2015,1,
Ranchi,2015,1,
Dhanbad,2015,1,
Purba Singhbhum,2015,2,
Bokaro,2015,2,
Chatra,2015,2,
Garhwa,2015,2,
Giridih,2015,2,
Hazaribag,2015,2,
Koderma,2015,2,
Pakur,2015,2,
Sahibganj,2015,2,
Dumka,2015,2,
Gumla,2015,2,
Jamtara,2015,2,
Latehar,2015,2,
Palamu,2015,2,
Pashchim Singhbhum,2015,2,
Seraikela_Kharsawan,2015,2,
Simdega,2015,2,
Deoghar,2015,2,
Godda,2015,2,
Lohardaga,2015,2,
Ranchi,2015,2,
Dhanbad,2015,2,
Purba Singhbhum,2015,3,
Bokaro,2015,3,
Chatra,2015,3,
Garhwa,2015,3,
Giridih,2015,3,
Hazaribag,2015,3,
Koderma,2015,3,
Pakur,2015,3,
Sahibganj,2015,3,
Dumka,2015,3,
Gumla,2015,3,
Jamtara,2015,3,
Latehar,2015,3,
Palamu,2015,3,
Pashchim Singhbhum,2015,3,
Seraikela_Kharsawan,2015,3,
Simdega,2015,3,
Deoghar,2015,3,
Godda,2015,3,
Lohardaga,2015,3,
Ranchi,2015,3,
Dhanbad,2015,3,
Purba Singhbhum,2015,4,0.029000400789748144
Bokaro,2015,4,0.03402557335284373
Chatra,2015,4,0.02738547369304267
Garhwa,2015,4,0.025726026235940516
Giridih,2015,4,0.02658962336883401
Hazaribag,2015,4,0.03481934347282236
Koderma,2015,4,0.028356728786532292
Pakur,2015,4,0.045048716736530506
Sahibganj,2015,4,0.045444066950170774
Dumka,2015,4,0.0473488028097004
Gumla,2015,4,0.032047848832761995
Jamtara,2015,4,0.043819864175557804
Latehar,2015,4,0.030170866266195567
Palamu,2015,4,0.023466151845334026
Pashchim Singhbhum,2015,4,0.028972710427030594
Seraikela_Kharsawan,2015,4,0.027253879663106554
Simdega,2015,4,0.029732251806829743
Deoghar,2015,4,0.035182567183482866
Godda,2015,4,0.06006953480307327
Lohardaga,2015,4,0.02807897325109637
Ranchi,2015,4,0.03413477142212306
Dhanbad,2015,4,0.02739049480800805
Purba Singhbhum,2015,5,0.025014302645298983
Bokaro,2015,5,0.027807653813557334
Chatra,2015,5,0.02362370257294975
Garhwa,2015,5,0.022823158775773223
Giridih,2015,5,0.02354022926303536
Hazaribag,2015,5,0.02276434971241577
