District,Year,Month,LST_C,Rainfall_mm,NDVI,Humidity_pct
Bokaro,2010,1,25.03,9.7,0.3645,65.1
Bokaro,2010,2,29.79,20.1,0.328,53.1
Bokaro,2010,3,38.65,13.4,0.2906,34.8
Bokaro,2010,4,43.53,12.6,0.2509,27.3
Bokaro,2010,5,36.82,53.9,0.3029,48.5
Bokaro,2010,6,36.28,123.9,0.3654,56.5
Bokaro,2010,7,32.68,222.8,0.5015,81.5
Bokaro,2010,8,31.12,195.5,0.6142,82.9
Bokaro,2010,9,30.49,248.2,0.6334,82.3
Bokaro,2010,10,29.89,85.0,0.6151,77.5
Bokaro,2010,11,28.38,5.3,0.5482,71.5
Bokaro,2010,12,23.89,0.2,0.4607,65.7
Bokaro,2011,1,23.92,14.8,0.3693,57.0
Bokaro,2011,2,30.34,11.4,0.3317,49.6
Bokaro,2011,3,37.21,13.2,0.289,36.7
Bokaro,2011,4,38.92,59.0,0.287,45.3
Bokaro,2011,5,39.12,76.5,0.3152,54.2
Bokaro,2011,6,35.28,247.5,0.4439,74.5
Bokaro,2011,7,32.7,175.3,0.5736,82.7
Bokaro,2011,8,29.27,376.1,0.6629,88.4
Bokaro,2011,9,29.68,307.7,0.6814,87.3
Bokaro,2011,10,29.08,61.8,0.656,75.1
Bokaro,2011,11,27.78,0.0,0.496,67.7
Bokaro,2011,12,25.14,0.0,0.3939,67.3
Bokaro,2012,1,22.2,40.0,0.3852,69.5
Bokaro,2012,2,28.7,14.8,0.3739,50.8
Bokaro,2012,3,34.53,18.9,0.3166,35.2
Bokaro,2012,4,40.6,37.4,0.2999,38.2
Bokaro,2012,5,41.9,31.4,0.2939,35.5
Bokaro,2012,6,40.82,162.7,0.296,51.2
Bokaro,2012,7,37.13,345.9,0.4824,85.5
Bokaro,2012,8,27.91,287.1,0.6232,86.1
Bokaro,2012,9,29.44,254.7,0.6878,85.1
Bokaro,2012,10,29.55,44.7,0.6438,72.8
Bokaro,2012,11,25.98,10.2,0.5422,71.3
Bokaro,2012,12,23.26,1.6,0.474,67.6
Bokaro,2013,1,23.82,8.5,0.3892,63.4
Bokaro,2013,2,28.55,20.7,0.3697,58.8
Bokaro,2013,3,36.19,8.8,0.3393,39.7
Bokaro,2013,4,40.88,36.1,0.3015,37.0
Bokaro,2013,5,40.37,83.2,0.3304,52.3
Bokaro,2013,6,33.23,248.7,0.549,82.3
Bokaro,2013,7,31.73,200.2,0.5682,84.6
Bokaro,2013,8,30.8,277.8,0.6671,86.7
Bokaro,2013,9,30.17,299.8,0.6999,84.6
Bokaro,2013,10,27.92,285.4,0.6652,85.1
Bokaro,2013,11,26.23,0.0,0.5743,70.7
Bokaro,2013,12,24.12,0.0,0.4604,66.2
Bokaro,2014,1,23.25,9.0,0.4096,71.2
Bokaro,2014,2,27.35,25.8,0.3805,63.1
Bokaro,2014,3,33.73,14.4,0.3911,55.1
Bokaro,2014,4,41.32,12.9,0.3381,31.9
Bokaro,2014,5,41.18,39.4,0.3403,42.7
Bokaro,2014,6,36.08,172.5,0.4213,64.7
Bokaro,2014,7,30.83,316.7,0.5858,86.4
Bokaro,2014,8,30.48,379.5,0.6754,84.3
Bokaro,2014,9,29.61,181.9,0.6939,83.0
Bokaro,2014,10,29.06,105.2,0.6651,78.2
Bokaro,2014,11,27.54,0.0,0.5022,64.7
Bokaro,2014,12,24.97,0.0,0.4017,67.9
Bokaro,2015,1,24.03,16.1,0.3877,72.3
Bokaro,2015,2,30.37,11.1,0.3424,59.6
Bokaro,2015,3,36.43,15.2,0.3135,49.0
Bokaro,2015,4,36.78,44.1,0.312,57.1
Bokaro,2015,5,36.62,42.2,0.3902,51.1
Bokaro,2015,6,39.86,174.4,0.4768,69.6
Bokaro,2015,7,30.68,549.1,0.6061,85.6
Bokaro,2015,8,30.52,285.2,0.6363,84.2
Bokaro,2015,9,31.11,126.1,0.6511,78.5
Bokaro,2015,10,31.97,39.8,0.5655,70.9
Bokaro,2015,11,29.48,1.9,0.4639,66.3
Bokaro,2015,12,25.69,0.1,0.3994,67.1
Bokaro,2016,1,25.47,12.9,0.3352,63.8
Bokaro,2016,2,30.03,17.2,0.3118,57.4
Bokaro,2016,3,38.07,14.5,0.2807,43.0
Bokaro,2016,4,44.92,7.3,0.2501,26.8
Bokaro,2016,5,39.33,68.5,0.2845,51.2
Bokaro,2016,6,36.82,174.9,0.4688,67.7
Bokaro,2016,7,32.74,342.4,0.5775,85.2
Bokaro,2016,8,30.72,379.9,0.6357,85.8
Bokaro,2016,9,28.97,484.4,0.6783,87.6
Bokaro,2016,10,29.44,57.7,0.6676,76.6
Bokaro,2016,11,27.76,0.0,0.5266,66.6
Bokaro,2016,12,25.47,0.0,0.4042,69.5
Bokaro,2017,1,25.91,10.7,0.3709,66.6
Bokaro,2017,2,30.8,15.3,0.326,50.8
Bokaro,2017,3,36.73,8.1,0.2959,44.4
Bokaro,2017,4,39.91,22.8,0.2804,38.4
Bokaro,2017,5,39.49,56.2,0.3176,49.7
Bokaro,2017,6,38.11,159.1,0.4532,68.6
Bokaro,2017,7,28.88,708.1,0.5219,87.0
Bokaro,2017,8,29.15,304.8,0.6799,86.3
Bokaro,2017,9,30.94,252.6,0.6885,83.8
Bokaro,2017,10,29.23,163.3,0.6754,80.2
Bokaro,2017,11,27.13,3.9,0.5588,71.2
Bokaro,2017,12,25.3,0.8,0.447,68.7
Bokaro,2018,1,24.94,8.6,0.3837,61.5
Bokaro,2018,2,30.12,14.7,0.3307,52.5
Bokaro,2018,3,37.86,7.3,0.2998,36.2
Bokaro,2018,4,37.05,57.5,0.3252,49.4
Bokaro,2018,5,37.07,77.9,0.3393,59.3
Bokaro,2018,6,36.07,151.7,0.4724,68.5
Bokaro,2018,7,30.24,338.7,0.5866,85.2
Bokaro,2018,8,29.01,300.7,0.6811,86.4
Bokaro,2018,9,30.67,189.3,0.7028,82.4
Bokaro,2018,10,30.7,36.1,0.6458,67.6
Bokaro,2018,11,28.89,1.9,0.4999,61.3
Bokaro,2018,12,23.24,5.1,0.4012,63.1
Bokaro,2019,1,24.37,10.6,0.3801,60.2
Bokaro,2019,2,28.2,33.3,0.3525,56.5
Bokaro,2019,3,34.15,24.2,0.3548,43.0
Bokaro,2019,4,37.98,28.5,0.3572,42.3
Bokaro,2019,5,39.02,47.2,0.3935,36.4
Bokaro,2019,6,38.6,180.4,0.3966,59.5
Bokaro,2019,7,33.65,305.1,0.5868,79.4
Bokaro,2019,8,29.89,272.6,0.6684,86.0
Bokaro,2019,9,30.49,259.2,0.7257,87.6
Bokaro,2019,10,28.79,63.5,0.7099,82.9
Bokaro,2019,11,27.15,3.7,0.6071,76.6
Bokaro,2019,12,22.23,6.4,0.5196,76.0
Bokaro,2020,1,21.91,32.8,0.4803,75.7
Bokaro,2020,2,26.25,17.8,0.4402,64.6
Bokaro,2020,3,31.4,64.9,0.4478,65.5
Bokaro,2020,4,37.49,62.5,0.4268,52.6
Bokaro,2020,5,34.74,62.4,0.5046,68.1
Bokaro,2020,6,33.76,291.3,0.5632,82.7
Bokaro,2020,7,32.57,468.3,0.6625,85.5
Bokaro,2020,8,29.68,296.7,0.7501,86.5
Bokaro,2020,9,30.08,302.6,0.7442,84.3
Bokaro,2020,10,30.01,100.1,0.6679,78.9
Bokaro,2020,11,28.3,3.1,0.5364,65.0
Bokaro,2020,12,24.47,0.0,0.4565,68.1
Bokaro,2021,1,25.61,9.6,0.3855,65.6
Bokaro,2021,2,30.02,11.3,0.3471,52.7
Bokaro,2021,3,36.3,12.2,0.3154,37.7
Bokaro,2021,4,41.16,23.1,0.3039,28.8
