District,LST_C,Rainfall_mm,NDVI,Humidity_pct,LST_Night_C,SoilMoist_m3m3,Water_pct_monthly,Nightlights,Elevation_m,Forest_pct,Cropland_pct
Bokaro,24.576,113.782,0.457,65.848,19.993,0.118,1.202,1.939,299.662,35.987,35.516
Chatra,24.369,97.776,0.499,62.446,19.074,0.107,0.101,0.204,402.8,44.174,30.718
Deoghar,24.598,115.036,0.427,67.291,20.093,0.114,0.274,1.185,236.833,14.204,52.228
Dhanbad,24.959,114.827,0.455,66.813,20.546,0.115,1.705,3.345,211.615,34.009,31.521
Dumka,24.896,120.139,0.48,68.898,20.436,0.121,0.765,0.335,171.136,29.65,47.297
Garhwa,24.864,91.838,0.488,61.0,19.873,0.103,0.522,0.107,319.688,40.719,38.486
Giridih,24.301,109.466,0.43,66.12,19.722,0.112,0.187,0.495,317.965,23.33,43.467
Godda,24.773,117.695,0.491,69.862,20.214,0.125,0.104,0.583,134.658,29.476,53.291
Gumla,23.035,113.235,0.471,63.325,18.291,0.117,0.15,0.091,676.11,35.516,45.073
Hazaribag,23.855,107.454,0.477,64.558,19.004,0.114,0.789,1.179,445.575,40.844,34.316
Jamtara,24.98,120.924,0.435,68.181,20.599,0.12,1.299,0.606,174.628,14.346,57.119
Koderma,24.408,102.72,0.499,64.483,19.482,0.114,0.097,0.786,326.157,51.154,29.15
Latehar,23.748,100.301,0.54,61.568,18.772,0.111,0.097,0.156,523.854,55.916,28.887
Lohardaga,22.834,106.679,0.496,63.282,17.592,0.115,0.147,0.423,714.414,39.041,46.905
Pakur,24.956,123.107,0.489,70.879,20.56,0.132,0.197,0.363,96.908,27.844,59.28
Palamu,25.064,90.041,0.477,61.696,20.021,0.101,0.474,0.382,265.717,34.228,44.28
Pashchim Singhbhum,25.083,119.771,0.54,63.808,20.16,0.118,0.119,0.365,382.815,62.308,29.013
Purba Singhbhum,25.657,132.887,0.511,66.929,21.175,0.116,0.375,1.732,178.851,47.224,39.106
Ranchi,23.775,120.085,0.477,64.116,18.79,0.117,0.312,1.007,529.766,38.579,42.405
Sahibganj,24.844,120.407,0.5,72.171,20.488,0.133,2.813,0.456,90.246,38.268,51.45
Saraikela Kharsawan,25.414,121.492,0.47,64.92,,,,,,,
Simdega,24.839,120.781,0.477,61.714,20.387,0.115,0.205,0.048,416.518,50.547,33.721
