,LST_C,LST_Night_C,Rainfall_mm,NDVI,Humidity_pct,SoilMoist_m3m3,Water_pct_monthly,Perm_Water_pct,Nightlights,Elevation_m,Forest_pct,Cropland_pct
LST_C,1.0,0.938,0.532,-0.219,-0.072,0.041,-0.157,-0.028,0.037,-0.138,-0.035,0.027
LST_Night_C,0.938,1.0,0.687,-0.047,0.178,0.291,-0.124,-0.031,0.053,-0.198,-0.075,0.059
Rainfall_mm,0.532,0.687,1.0,0.318,0.641,0.734,-0.108,0.032,0.048,-0.013,-0.001,0.016
NDVI,-0.219,-0.047,0.318,1.0,0.702,0.721,0.025,-0.042,-0.047,0.048,0.188,-0.108
Humidity_pct,-0.072,0.178,0.641,0.702,1.0,0.918,0.055,0.02,0.074,-0.129,-0.098,0.115
SoilMoist_m3m3,0.041,0.291,0.734,0.721,0.918,1.0,0.022,0.024,0.047,-0.061,-0.036,0.059
Water_pct_monthly,-0.157,-0.124,-0.108,0.025,0.055,0.022,1.0,0.333,0.363,-0.254,-0.192,0.129
Perm_Water_pct,-0.028,-0.031,0.032,-0.042,0.02,0.024,0.333,1.0,0.231,0.092,-0.052,0.049
Nightlights,0.037,0.053,0.048,-0.047,0.074,0.047,0.363,0.231,1.0,-0.258,-0.216,0.033
Elevation_m,-0.138,-0.198,-0.013,0.048,-0.129,-0.061,-0.254,0.092,-0.258,1.0,0.551,-0.547
Forest_pct,-0.035,-0.075,-0.001,0.188,-0.098,-0.036,-0.192,-0.052,-0.216,0.551,1.0,-0.806
Cropland_pct,0.027,0.059,0.016,-0.108,0.115,0.059,0.129,0.049,0.033,-0.547,-0.806,1.0
