District,NightLST_slope_C_per_yr
Pakur,0.04623737373737432
Godda,0.045370370370370554
Sahibganj,0.04236111111111166
Giridih,0.038846153846153766
Chatra,0.03770833333333279
Dumka,0.031217948717948474
Koderma,0.03092592592592622
Palamu,0.024629629629629335
Deoghar,0.02398148148148138
Garhwa,0.019761904761904554
Hazaribag,0.019666666666666544
Gumla,0.019166666666666998
Jamtara,0.01794871794871802
Ranchi,0.011527777777777951
Dhanbad,0.01013888888888855
Latehar,0.009404761904762486
Pashchim Singhbhum,0.006439393939393897
Simdega,0.006363636363636066
Purba Singhbhum,0.0019444444444438602
Lohardaga,0.0008333333333337597
Bokaro,-0.0053451178451177205
