Dataset,Column,Total_rows,NaN_count,Sentinel_count,Total_missing,Missing_pct
satellite,system:index,3696,0,0,0,0.0
satellite,ADM0_CODE,3696,0,0,0,0.0
satellite,ADM1_CODE,3696,0,0,0,0.0
satellite,ADM2_CODE,3696,0,0,0,0.0
satellite,EXP2_YEAR,3696,0,0,0,0.0
satellite,LST_C,3696,0,0,0,0.0
satellite,Month,3696,0,0,0,0.0
satellite,NDVI,3696,0,0,0,0.0
satellite,Rainfall_mm,3696,0,0,0,0.0
satellite,STR2_YEAR,3696,0,0,0,0.0
satellite,Shape_Area,3696,0,0,0,0.0
satellite,Shape_Leng,3696,0,0,0,0.0
satellite,Year,3696,0,0,0,0.0
satellite,Humidity_pct,3696,0,0,0,0.0
night_lst,Year,3696,0,0,0,0.0
night_lst,Month,3696,0,0,0,0.0
night_lst,LST_Night_C,3696,19,0,19,0.5
jrc_monthly,Year,3696,0,0,0,0.0
jrc_monthly,Month,3696,0,0,0,0.0
jrc_monthly,Water_pct,3696,0,0,0,0.0
jrc_static,Perm_Water_pct,22,0,0,0,0.0
jrc_static,Seas_Water_pct,22,0,0,0,0.0
smap,Year,2376,0,0,0,0.0
smap,Month,2376,0,0,0,0.0
smap,SoilMoist_m3m3,2376,418,0,418,17.6
nightlights,Year,264,0,0,0,0.0
nightlights,Nightlights,264,66,0,66,25.0
static,Elevation_m,22,0,0,0,0.0
static,Slope_deg,22,0,0,0,0.0
static,Builtup_pct,22,0,0,0,0.0
static,Forest_pct,22,0,0,0,0.0
static,Cropland_pct,22,0,0,0,0.0
static,BuiltupLC_pct,22,0,0,0,0.0
static,Barren_pct,22,0,0,0,0.0
static,WaterBody_pct,22,0,0,0,0.0
static,Pop_density,22,0,0,0,0.0
