Feature,Missing,Pct
system:index,0,0.0
ADM0_CODE,0,0.0
ADM0_NAME,0,0.0
ADM1_CODE,0,0.0
ADM1_NAME,0,0.0
ADM2_CODE,0,0.0
ADM2_NAME,0,0.0
DISP_AREA,0,0.0
District,0,0.0
EXP2_YEAR,0,0.0
LST_C,0,0.0
Month,0,0.0
NDVI,0,0.0
Rainfall_mm,0,0.0
STATUS,0,0.0
STR2_YEAR,0,0.0
Shape_Area,0,0.0
Shape_Leng,0,0.0
Year,0,0.0
.geo,0,0.0
Humidity_pct,0,0.0
LST_Night_C,185,5.01
Water_pct_monthly,168,4.55
Perm_Water_pct,168,4.55
Seas_Water_pct,168,4.55
SoilMoist_m3m3,1827,49.43
Nightlights,1428,38.64
Elevation_m,168,4.55
Slope_deg,168,4.55
Builtup_pct,168,4.55
Forest_pct,168,4.55
Cropland_pct,168,4.55
Pop_density,168,4.55
